	id_account	week	account_name	impresssions	reach	extract_date	month	year
0	17841417530400616	2024-04-29	Gabriel Galani	811	107	2024-05-17	5	2024
1	17841417530400616	2024-05-06	Gabriel Galani	216	60	2024-05-17	5	2024
2	17841417530400616	2024-05-13	Gabriel Galani	297	73	2024-05-17	5	2024
