	id_account	account_name	Country Code	Country	audience_size_reached	extract_date	month	year
0	17841417530400616	Gabriel Galani	BR	Brazil	144	2024-05-17	5	2024
1	17841417530400616	Gabriel Galani	US	United States	3	2024-05-17	5	2024
