Account ID	Day	Account Name	Impressions	Reach	Profile Views	New Followers	Get Directions	Calls	Texts	Website Clicks	Emails	Data	Mês	Ano
17841417530400616	2024-05-01	Gabriel Galani	14	6	5	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-02	Gabriel Galani	0	0	1	1	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-03	Gabriel Galani	56	1	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-04	Gabriel Galani	89	50	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-05	Gabriel Galani	52	30	3	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-06	Gabriel Galani	19	13	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-07	Gabriel Galani	0	0	1	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-08	Gabriel Galani	0	0	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-09	Gabriel Galani	100	56	9	1	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-10	Gabriel Galani	9	1	3	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-11	Gabriel Galani	79	48	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-12	Gabriel Galani	89	45	1	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-13	Gabriel Galani	0	0	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-14	Gabriel Galani	0	0	2	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-15	Gabriel Galani	20	20	3	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-16	Gabriel Galani	101	63	1	0	0	0	0	0	0	2024-05-17	05	2024
17841417530400616	2024-05-17	Gabriel Galani	10	10	1	0	0	0	0	0	0	2024-05-17	05	2024
