Account ID	Account Name	Country Code	Country	Audience Size (Reached)	Data	Mês	Ano
17841417530400616	Gabriel Galani	BR	Brazil	144	2024-05-17	05	2024
17841417530400616	Gabriel Galani	US	United States	3	2024-05-17	05	2024
