Account ID	Week	Account Name	Impressions	Reach	Data	Mês	Ano
17841417530400616	2024-04-29	Gabriel Galani	811	107	2024-05-17	05	2024
17841417530400616	2024-05-06	Gabriel Galani	216	60	2024-05-17	05	2024
17841417530400616	2024-05-13	Gabriel Galani	297	73	2024-05-17	05	2024
