	id_account	name.3	period	title.3	description.3	Cidade_dos_seguidores	valor	extract_date	period_extraction	year	day	id_tb_midia
34	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Güzelyurt, Aksaray Province	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
35	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Güzelyurt, Aksaray Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
36	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Cianorte, Paraná	22.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
37	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Cianorte, Paraná		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
38	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Recife, Pernambuco	9.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
39	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Recife, Pernambuco		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
40	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Des Moines, Iowa	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
41	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Des Moines, Iowa		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
42	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Manchester, New Hampshire	11.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
43	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Manchester, New Hampshire		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
44	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Beylikova, Eskişehir Province	18.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
45	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Beylikova, Eskişehir Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
46	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Seyitgazi, Eskişehir Province	17.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
