	id_account	name.2	period	title.2	description.2	Pais_do_publico	valor	extract_date	period_extraction	year	day	id_tb_midia
40	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.AO	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
41	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.AO		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
42	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.ES	7.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
43	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.ES		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
44	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.TH	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
45	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.TH		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
46	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.AU	7.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
47	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.AU		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
48	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.CZ	21.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
49	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.CZ		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
50	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.NG	5.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
51	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.NG		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
52	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.NL	3.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
53	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.NL		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
54	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.TR	1028.0	2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
55	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.TR		2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
56	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.HK		2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
57	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.HK	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
58	17841425444516188	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.EC		2024-05-20	05	2024	20	1784142544451618820240520audience_countrylifetime
59	17841417530400616	audience_country	lifetime	País do público	Países dos seguidores deste perfil	value.EC	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_countrylifetime
