	id_account	name.1	period	title.1	description.1	localizacao_pais	valor	extract_date	period_extraction	year	day	id_tb_midia
35	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.de_CH		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
36	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.lo_LA	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
37	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.lo_LA		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
38	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_MX	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
39	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_MX		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
40	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.sk_SK	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
41	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.sk_SK		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
42	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_ES	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
43	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_ES		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
44	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_CL	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
45	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_CL		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
46	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.nl_NL	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
47	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.nl_NL		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
48	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_NZ	3.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
49	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_NZ		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
50	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.sv_SE	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
51	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.sv_SE		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
52	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.fa_IR	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
53	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.fa_IR		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
54	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.mk_MK	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
