	id	name	period	title	description	value	extract_date	period_extraction	year	day	id_tb_midias
33	17912491130893668	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	1	2024-05-20	05	2024	20	1791249113089366820240520savedlifetime
34	18020750125974446	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1802075012597444620240520taps_forwardlifetime
35	18020750125974446	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1802075012597444620240520taps_backlifetime
36	18020750125974446	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1802075012597444620240520exitslifetime
37	18020750125974446	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1802075012597444620240520replieslifetime
38	18020750125974446	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	8	2024-05-20	05	2024	20	1802075012597444620240520engagementlifetime
39	18020750125974446	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1802075012597444620240520video_viewslifetime
40	18020750125974446	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	77	2024-05-20	05	2024	20	1802075012597444620240520impressionslifetime
41	18020750125974446	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	74	2024-05-20	05	2024	20	1802075012597444620240520reachlifetime
42	18020750125974446	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	1	2024-05-20	05	2024	20	1802075012597444620240520savedlifetime
43	17869447275058315	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1786944727505831520240520taps_forwardlifetime
44	17869447275058315	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1786944727505831520240520taps_backlifetime
45	17869447275058315	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1786944727505831520240520exitslifetime
46	17869447275058315	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1786944727505831520240520replieslifetime
47	17869447275058315	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	7	2024-05-20	05	2024	20	1786944727505831520240520engagementlifetime
48	17869447275058315	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1786944727505831520240520video_viewslifetime
