	id_account	account_username	account_biography	profile_picture_url	account_name	followers_count	follows_count	media_count
0	17841425444516188	bodemeier.digital	"♟️Criação de conteúdo estratégico
▪️+ de 5 anos de experiência no digital
▪️Conectamos seu cliente ao seu negócio 
Contate-me ⤵️"	https://scontent.fcgh8-1.fna.fbcdn.net/v/t51.2885-15/427506711_1444397603098928_1942590529352389401_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGRbNuPsrFin3fAXU8uRPpI7x-6zWbTXv_vH7rNZtNe_4bhV4L9d2_PNEn3ZVIyo85kicvuNSWPaOuuyRHOA2ga&_nc_ohc=y-lT47mz0XcQ7kNvgHUUE2b&_nc_ht=scontent.fcgh8-1.fna&edm=AL-3X8kEAAAA&oh=00_AYBSzpR3ENpaQm9WDOK96Jha6jTXWdjCKWOTKqM0Vb8GCw&oe=6656C12C	Bodemeier Digital	2876	1399	90
1	17841417530400616	gabgalani	"RJ 🔸 SP
data is the new oil 💻
@carolinebodemeier ❤️"	https://scontent.fcgh8-1.fna.fbcdn.net/v/t51.2885-15/357375994_3460830397504052_2703593647500343664_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeFLAVAKKX2lDuizFYVr5-LyxE0SHrvdG3_ETRIeu90bf3aOx72L_FW2MycrawWUDWqTYaWz9xY_sgAsNx6_WNHt&_nc_ohc=Q4H4oVFjU8oQ7kNvgHwwuO9&_nc_ht=scontent.fcgh8-1.fna&edm=AL-3X8kEAAAA&oh=00_AYAgN3jCzFcT1y_50sLB2OZHEngxyWOWaw4dF4GE5TYr8A&oe=6656B00D	Gabriel Galani	239	374	139
