	id	id_midia	id_account	comments_count	like_count	extract_date	period	year	day
0	18005273918369940178414254445161882024525	18005273918369940	17841425444516188	2	15	2024-05-25	5	2024	25
1	17846370906157882178414254445161882024525	17846370906157882	17841425444516188	1	13	2024-05-25	5	2024	25
2	18002752616172667178414254445161882024525	18002752616172667	17841425444516188	0	5	2024-05-25	5	2024	25
3	17971594208670851178414254445161882024525	17971594208670851	17841425444516188	0	7	2024-05-25	5	2024	25
4	18062694892504235178414254445161882024525	18062694892504235	17841425444516188	5	7	2024-05-25	5	2024	25
5	17870243565059503178414254445161882024525	17870243565059503	17841425444516188	0	6	2024-05-25	5	2024	25
6	17897388878957061178414254445161882024525	17897388878957061	17841425444516188	0	8	2024-05-25	5	2024	25
7	18214911715272967178414254445161882024525	18214911715272967	17841425444516188	0	7	2024-05-25	5	2024	25
8	17905338809918494178414254445161882024525	17905338809918494	17841425444516188	1	17	2024-05-25	5	2024	25
9	17912491130893668178414254445161882024525	17912491130893668	17841425444516188	0	6	2024-05-25	5	2024	25
10	18020750125974446178414254445161882024525	18020750125974446	17841425444516188	1	6	2024-05-25	5	2024	25
11	17869447275058315178414254445161882024525	17869447275058315	17841425444516188	1	5	2024-05-25	5	2024	25
12	18030343753699664178414254445161882024525	18030343753699664	17841425444516188	0	15	2024-05-25	5	2024	25
13	18012618164496765178414254445161882024525	18012618164496765	17841425444516188	1	6	2024-05-25	5	2024	25
14	18020150257990451178414254445161882024525	18020150257990451	17841425444516188	0	5	2024-05-25	5	2024	25
15	18024592819898084178414254445161882024525	18024592819898084	17841425444516188	3	15	2024-05-25	5	2024	25
16	17997324461240753178414254445161882024525	17997324461240753	17841425444516188	1	6	2024-05-25	5	2024	25
17	17982183917471535178414254445161882024525	17982183917471535	17841425444516188	0	7	2024-05-25	5	2024	25
18	17873173155025720178414254445161882024525	17873173155025720	17841425444516188	4	33	2024-05-25	5	2024	25
19	17892179540901363178414254445161882024525	17892179540901363	17841425444516188	0	4	2024-05-25	5	2024	25
20	17953225589736051178414254445161882024525	17953225589736051	17841425444516188	0	12	2024-05-25	5	2024	25
21	18039366277634967178414254445161882024525	18039366277634967	17841425444516188	0	6	2024-05-25	5	2024	25
22	18034865689681990178414254445161882024525	18034865689681990	17841425444516188	0	7	2024-05-25	5	2024	25
23	18091892248364995178414254445161882024525	18091892248364995	17841425444516188	0	5	2024-05-25	5	2024	25
24	17950801427740207178414254445161882024525	17950801427740207	17841425444516188	1	10	2024-05-25	5	2024	25
25	18065695549489192178414254445161882024525	18065695549489192	17841425444516188	0	9	2024-05-25	5	2024	25
26	18249982000212022178414254445161882024525	18249982000212022	17841425444516188	0	6	2024-05-25	5	2024	25
27	18036597331663791178414254445161882024525	18036597331663791	17841425444516188	0	5	2024-05-25	5	2024	25
28	17970826016660160178414254445161882024525	17970826016660160	17841425444516188	0	4	2024-05-25	5	2024	25
29	17891122685897851178414254445161882024525	17891122685897851	17841425444516188	0	11	2024-05-25	5	2024	25
30	18112975201322049178414254445161882024525	18112975201322049	17841425444516188	2	8	2024-05-25	5	2024	25
31	18082369435378017178414254445161882024525	18082369435378017	17841425444516188	0	7	2024-05-25	5	2024	25
32	18005906753255379178414254445161882024525	18005906753255379	17841425444516188	0	9	2024-05-25	5	2024	25
33	18041914348617681178414254445161882024525	18041914348617681	17841425444516188	0	13	2024-05-25	5	2024	25
34	17998872359374643178414254445161882024525	17998872359374643	17841425444516188	1	10	2024-05-25	5	2024	25
35	18011278775500459178414254445161882024525	18011278775500459	17841425444516188	0	11	2024-05-25	5	2024	25
36	17983677587408251178414254445161882024525	17983677587408251	17841425444516188	0	19	2024-05-25	5	2024	25
37	18276264910162723178414254445161882024525	18276264910162723	17841425444516188	0	21	2024-05-25	5	2024	25
38	18149116891307761178414254445161882024525	18149116891307761	17841425444516188	0	9	2024-05-25	5	2024	25
39	18005078747253576178414254445161882024525	18005078747253576	17841425444516188	0	16	2024-05-25	5	2024	25
40	17996237798221062178414254445161882024525	17996237798221062	17841425444516188	1	12	2024-05-25	5	2024	25
41	18014754566080141178414254445161882024525	18014754566080141	17841425444516188	1	21	2024-05-25	5	2024	25
42	18028826005693449178414254445161882024525	18028826005693449	17841425444516188	0	9	2024-05-25	5	2024	25
43	18032981563739916178414254445161882024525	18032981563739916	17841425444516188	0	27	2024-05-25	5	2024	25
44	18326579032099902178414254445161882024525	18326579032099902	17841425444516188	1	4	2024-05-25	5	2024	25
45	18006275992961972178414254445161882024525	18006275992961972	17841425444516188	0	3	2024-05-25	5	2024	25
46	18032597344644097178414254445161882024525	18032597344644097	17841425444516188	0	3	2024-05-25	5	2024	25
47	17980478672546161178414254445161882024525	17980478672546161	17841425444516188	0	10	2024-05-25	5	2024	25
48	17858799921017149178414254445161882024525	17858799921017149	17841425444516188	0	5	2024-05-25	5	2024	25
49	17927529029789580178414254445161882024525	17927529029789580	17841425444516188	0	3	2024-05-25	5	2024	25
50	18112835173336935178414254445161882024525	18112835173336935	17841425444516188	1	10	2024-05-25	5	2024	25
51	17977771859401472178414254445161882024525	17977771859401472	17841425444516188	0	12	2024-05-25	5	2024	25
52	17999631694815784178414254445161882024525	17999631694815784	17841425444516188	0	391	2024-05-25	5	2024	25
53	17868068480908352178414254445161882024525	17868068480908352	17841425444516188	3	162	2024-05-25	5	2024	25
54	18253789948088468178414254445161882024525	18253789948088468	17841425444516188	1	7	2024-05-25	5	2024	25
55	18004555213694855178414254445161882024525	18004555213694855	17841425444516188	0	158	2024-05-25	5	2024	25
56	17959106837367775178414254445161882024525	17959106837367775	17841425444516188	0	377	2024-05-25	5	2024	25
57	17931493511666511178414254445161882024525	17931493511666511	17841425444516188	2	377	2024-05-25	5	2024	25
58	17905789424688961178414254445161882024525	17905789424688961	17841425444516188	0	376	2024-05-25	5	2024	25
59	18071375392367766178414254445161882024525	18071375392367766	17841425444516188	0	170	2024-05-25	5	2024	25
60	17981861483060238178414254445161882024525	17981861483060238	17841425444516188	1	6	2024-05-25	5	2024	25
61	18056375083389968178414254445161882024525	18056375083389968	17841425444516188	1	9	2024-05-25	5	2024	25
62	17962949372126268178414254445161882024525	17962949372126268	17841425444516188	0	142	2024-05-25	5	2024	25
63	17859108473899553178414254445161882024525	17859108473899553	17841425444516188	0	9	2024-05-25	5	2024	25
64	17858492822899311178414254445161882024525	17858492822899311	17841425444516188	1	357	2024-05-25	5	2024	25
65	17971307680970855178414254445161882024525	17971307680970855	17841425444516188	0	8	2024-05-25	5	2024	25
66	18020007067488032178414254445161882024525	18020007067488032	17841425444516188	0	9	2024-05-25	5	2024	25
67	18069312715352556178414254445161882024525	18069312715352556	17841425444516188	1	8	2024-05-25	5	2024	25
68	17976421084985001178414254445161882024525	17976421084985001	17841425444516188	0	164	2024-05-25	5	2024	25
69	17957530706193660178414254445161882024525	17957530706193660	17841425444516188	0	10	2024-05-25	5	2024	25
70	17968820779999389178414254445161882024525	17968820779999389	17841425444516188	1	6	2024-05-25	5	2024	25
71	17952003506517561178414254445161882024525	17952003506517561	17841425444516188	2	10	2024-05-25	5	2024	25
72	18172394914270979178414254445161882024525	18172394914270979	17841425444516188	0	10	2024-05-25	5	2024	25
73	17916484169676926178414254445161882024525	17916484169676926	17841425444516188	0	7	2024-05-25	5	2024	25
74	17957620226183109178414254445161882024525	17957620226183109	17841425444516188	0	9	2024-05-25	5	2024	25
75	17935132118501780178414254445161882024525	17935132118501780	17841425444516188	0	6	2024-05-25	5	2024	25
76	17941955504589562178414254445161882024525	17941955504589562	17841425444516188	0	11	2024-05-25	5	2024	25
77	17964572459322841178414254445161882024525	17964572459322841	17841425444516188	0	11	2024-05-25	5	2024	25
78	17975602669999778178414254445161882024525	17975602669999778	17841425444516188	0	8	2024-05-25	5	2024	25
79	17969867627113386178414254445161882024525	17969867627113386	17841425444516188	2	9	2024-05-25	5	2024	25
80	17980419661785716178414254445161882024525	17980419661785716	17841425444516188	0	4	2024-05-25	5	2024	25
81	17985627235816479178414254445161882024525	17985627235816479	17841425444516188	0	14	2024-05-25	5	2024	25
82	17936678435580317178414254445161882024525	17936678435580317	17841425444516188	0	8	2024-05-25	5	2024	25
83	17979201958875857178414254445161882024525	17979201958875857	17841425444516188	0	6	2024-05-25	5	2024	25
84	17978190145738391178414254445161882024525	17978190145738391	17841425444516188	0	7	2024-05-25	5	2024	25
85	18239417728149649178414254445161882024525	18239417728149649	17841425444516188	0	6	2024-05-25	5	2024	25
86	17970852493869455178414254445161882024525	17970852493869455	17841425444516188	0	6	2024-05-25	5	2024	25
