	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
0	1802930302709823372024523	18029303027098233	7	2024-05-23	5	2024	23	exits	12
1	18029303027098233152024523	18029303027098233	15	2024-05-23	5	2024	23	replies	1
2	18029303027098233182024523	18029303027098233	18	2024-05-23	5	2024	23	taps_forward	36
3	18029303027098233172024523	18029303027098233	17	2024-05-23	5	2024	23	taps_back	1
4	18029303027098233102024523	18029303027098233	10	2024-05-23	5	2024	23	impressions	124
5	18029303027098233142024523	18029303027098233	14	2024-05-23	5	2024	23	reach	106
6	18005273918369940142024525	18005273918369940	14	2024-05-25	5	2024	25	reach	146
7	18005273918369940162024525	18005273918369940	16	2024-05-25	5	2024	25	saved	1
8	17846370906157882142024525	17846370906157882	14	2024-05-25	5	2024	25	reach	99
9	17846370906157882162024525	17846370906157882	16	2024-05-25	5	2024	25	saved	0
10	18002752616172667142024525	18002752616172667	14	2024-05-25	5	2024	25	reach	123
11	18002752616172667162024525	18002752616172667	16	2024-05-25	5	2024	25	saved	0
12	17971594208670851142024525	17971594208670851	14	2024-05-25	5	2024	25	reach	138
13	17971594208670851162024525	17971594208670851	16	2024-05-25	5	2024	25	saved	0
14	18062694892504235142024525	18062694892504235	14	2024-05-25	5	2024	25	reach	138
15	18062694892504235162024525	18062694892504235	16	2024-05-25	5	2024	25	saved	0
16	17870243565059503142024525	17870243565059503	14	2024-05-25	5	2024	25	reach	131
17	17870243565059503162024525	17870243565059503	16	2024-05-25	5	2024	25	saved	0
18	17897388878957061142024525	17897388878957061	14	2024-05-25	5	2024	25	reach	308
19	17897388878957061162024525	17897388878957061	16	2024-05-25	5	2024	25	saved	4
20	18214911715272967182024525	18214911715272967	18	2024-05-25	5	2024	25	taps_forward	0
21	18214911715272967172024525	18214911715272967	17	2024-05-25	5	2024	25	taps_back	0
22	1821491171527296772024525	18214911715272967	7	2024-05-25	5	2024	25	exits	0
23	18214911715272967152024525	18214911715272967	15	2024-05-25	5	2024	25	replies	0
24	1821491171527296762024525	18214911715272967	6	2024-05-25	5	2024	25	engagement	7
25	18214911715272967202024525	18214911715272967	20	2024-05-25	5	2024	25	video_views	0
26	18214911715272967102024525	18214911715272967	10	2024-05-25	5	2024	25	impressions	56
27	18214911715272967142024525	18214911715272967	14	2024-05-25	5	2024	25	reach	54
28	18214911715272967162024525	18214911715272967	16	2024-05-25	5	2024	25	saved	0
29	17905338809918494142024525	17905338809918494	14	2024-05-25	5	2024	25	reach	147
30	17905338809918494162024525	17905338809918494	16	2024-05-25	5	2024	25	saved	0
31	17912491130893668182024525	17912491130893668	18	2024-05-25	5	2024	25	taps_forward	0
32	17912491130893668172024525	17912491130893668	17	2024-05-25	5	2024	25	taps_back	0
33	1791249113089366872024525	17912491130893668	7	2024-05-25	5	2024	25	exits	0
