	id_midia	name	period	title	description	id	value	extract_date	period_extraction	year	day	id_tb_midias
2	17912491130893668	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	17912491130893668/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1791249113089366820240525exitslifetime
3	17912491130893668	replies	lifetime	Respostas	Número total de respostas ao story	17912491130893668/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1791249113089366820240525replieslifetime
4	17912491130893668	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	17912491130893668/insights/engagement/lifetime	7.0	2024-05-25	05	2024	25	1791249113089366820240525engagementlifetime
5	17912491130893668	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	17912491130893668/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1791249113089366820240525video_viewslifetime
6	17912491130893668	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	17912491130893668/insights/impressions/lifetime	71.0	2024-05-25	05	2024	25	1791249113089366820240525impressionslifetime
7	17912491130893668	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	17912491130893668/insights/reach/lifetime	68.0	2024-05-25	05	2024	25	1791249113089366820240525reachlifetime
8	17912491130893668	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	17912491130893668/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1791249113089366820240525savedlifetime
0	18020750125974446	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	18020750125974446/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1802075012597444620240525taps_forwardlifetime
1	18020750125974446	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	18020750125974446/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1802075012597444620240525taps_backlifetime
2	18020750125974446	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	18020750125974446/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1802075012597444620240525exitslifetime
3	18020750125974446	replies	lifetime	Respostas	Número total de respostas ao story	18020750125974446/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1802075012597444620240525replieslifetime
4	18020750125974446	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	18020750125974446/insights/engagement/lifetime	8.0	2024-05-25	05	2024	25	1802075012597444620240525engagementlifetime
5	18020750125974446	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	18020750125974446/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1802075012597444620240525video_viewslifetime
