	id_midia	media_type	media_type	media_url	id
0	18024592819898084	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
1	17950801427740207	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
2	18249982000212022	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
3	17970826016660160	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
4	17983677587408251	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
5	18005078747253576	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
6	18326579032099902	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421674566_18029189740848151_1791294184871766217_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEwHU-rIyCwQ6FJk8KhEGV19v9vBv7zmOL2_28G_vOY4iCZqAtg3mGFoRMyyomnXvCd4CBE7hwAIpPdpnKauMlf&_nc_ohc=bM-o2f9YqZwQ7kNvgHTBkCA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBC47tK7dJuoKjVkZg-ReXubnauBHCdCtULgZR8g4tghQ&oe=6656D16C	17971829027659357
7	18006275992961972	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421525318_18029189755848151_3361650205283664213_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeGkMnCPyyuGSs5nj6UUrqpMQFj459PzROxAWPjn0_NE7NQhoy6Phfr1DOVsn_HC8kEuSNxfF5kKNo22QTAR-GCY&_nc_ohc=pTK9vqOgdaUQ7kNvgGG53ws&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYDrktS0GpUKMej0346eeva6cx5C16goSsc3HZL6cMpSZQ&oe=6656B526	17906503256914067
8	18032597344644097	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421525318_18029189755848151_3361650205283664213_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeGkMnCPyyuGSs5nj6UUrqpMQFj459PzROxAWPjn0_NE7NQhoy6Phfr1DOVsn_HC8kEuSNxfF5kKNo22QTAR-GCY&_nc_ohc=pTK9vqOgdaUQ7kNvgGG53ws&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYDrktS0GpUKMej0346eeva6cx5C16goSsc3HZL6cMpSZQ&oe=6656B526	17906503256914067
9	17980478672546161	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t39.30808-6/421525318_18029189755848151_3361650205283664213_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeGkMnCPyyuGSs5nj6UUrqpMQFj459PzROxAWPjn0_NE7NQhoy6Phfr1DOVsn_HC8kEuSNxfF5kKNo22QTAR-GCY&_nc_ohc=pTK9vqOgdaUQ7kNvgGG53ws&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYDrktS0GpUKMej0346eeva6cx5C16goSsc3HZL6cMpSZQ&oe=6656B526	17906503256914067
